Name,Friendly Name,Device Type,Company Name,Company Friendly Name,Site Name,Site Friendly Name,OS,OS Architecture,OS Language,IP Address,External IP Address,System Domain Role,Device Serial Number,Installed Date,System Model,Processor,Processor Type,Number Of Processors,Number of Cores,RAM (GB),Disk Manufacturer/Model,Disk Interface Type,Disk Volume (GB),Partitions,BIOS Version,BIOS Manufacturer,BIOS Serial No,Bios Product,Base Board Manufacturer,Device Time Zone,Last Check Date
DESKTOP-3I3R150,DESKTOP-3I3R150,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Business 24H2,64-bit,English (United States),10.70.18.138,196.41.102.162,Standalone Workstation,3GZTC24,02/03/2025 02:13 pm,Vostro 16 5640,Intel(R) Core(TM) 5 120U,Central Processor,1,10,16.00,(Standard disk drives) / NVMe 2400A NVMe Micron 512GB,SCSI,476.94,5,1.8.1,Dell Inc.,3GZTC24,BIOS Date: 11/29/2024 Ver: 1.8.1,Dell Inc.,(UTC +0200) SAST,02/05/2025 12:02 pm
TDube,Liam-LPT,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),10.10.2.61,196.41.102.164,Standalone Workstation,745NFX3,02/14/2025 10:29 am,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.18.0,Dell Inc.,745NFX3,BIOS Date: 09/05/2024 Ver: 1.18.0,Dell Inc.,(UTC +0200) SAST,02/14/2025 11:55 am
DESKTOP-ADS6JO1,DESKTOP-ADS6JO1,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Windows 10 Pro 22H2,64-bit,English (United Kingdom),192.168.1.90,86.128.185.234,Standalone Workstation,1F9V2M2,01/07/2025 03:09 pm,Latitude 5580,Intel(R) Core(TM) i5-7200U CPU @ 2.50GHz,Central Processor,1,2,16.00,(Standard disk drives) / SK hynix SC311 SATA 128GB,SCSI,119.24,3,1.39.0,Dell Inc.,1F9V2M2,BIOS Date: 11/06/2024 Ver: 1.39.0,Dell Inc.,(UTC +0100) BST,07/17/2025 12:02 pm
BDRCPT-778QJX3,LAPTOP-LUCIAN,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Business 24H2,64-bit,English (United States),10.10.2.30,41.132.67.243,Standalone Workstation,778QJX3,07/08/2025 09:10 am,Latitude 3540,13th Gen Intel(R) Core(TM) i5-1335U,Central Processor,1,10,40.00,(Standard disk drives) / BC901 NVMe SK hynix 256GB,SCSI,238.47,3,1.22.0,Dell Inc.,778QJX3,BIOS Date: 03/25/2025 Ver: 1.22.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 09:10 am
Imtiaz,IMTIAZ,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 23H2,64-bit,English (United States),192.168.1.38,41.133.103.84,Standalone Workstation,3Z7VKX3,01/08/2025 09:05 am,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.18.0,Dell Inc.,3Z7VKX3,BIOS Date: 09/05/2024 Ver: 1.18.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 08:59 am
BDR_Belinda,BDR_Belinda,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),10.70.1.49,41.132.67.243,Standalone Workstation,JY7VKX3,01/09/2025 01:36 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.21.0,Dell Inc.,JY7VKX3,BIOS Date: 03/26/2025 Ver: 1.21.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 09:04 am
BDRCPT-BPYTKX3,BDR-CPT-BPYTKX3,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Business 24H2,64-bit,English (United States),10.0.0.166,105.244.23.23,Standalone Workstation,BPYTKX3,06/04/2025 12:46 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,16.00,(Standard disk drives) / PM9B1 NVMe Samsung 512GB,SCSI,476.94,3,1.20.0,Dell Inc.,BPYTKX3,BIOS Date: 02/07/2025 Ver: 1.20.0,Dell Inc.,(UTC +0100) BST,07/21/2025 08:46 am
DevonBDR,DevonBDR,Desktop,BDR Group,BDR Group,BDR - Cape Town,BDR - Cape Town,Microsoft Windows 11 Enterprise 23H2,64-bit,English (United States),169.254.115.55,196.41.102.162,Standalone Workstation,JZ7VKX3,10/14/2024 12:10 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.17.0,Dell Inc.,JZ7VKX3,BIOS Date: 08/09/2024 Ver: 1.17.0,Dell Inc.,(UTC +0200) SAST,04/15/2025 12:25 pm
BDRCOL-PF25ETLA,BDR-LT-14189,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),194.0.10.46,62.105.82.130,Standalone Workstation,PF25ETLA,02/09/2025 01:29 pm,20RA001BUK,Intel(R) Core(TM) i7-10510U CPU @ 1.80GHz,Central Processor,1,4,16.00,(Standard disk drives) / HFM512GDHTNG-8710B,SCSI,476.94,3,R16ET43W (1.29 ),LENOVO,PF25ETLA,BIOS Date: 12/09/2024 Ver: R16ET43W (1.29 ),LENOVO,(UTC +0100) BST,05/16/2025 08:30 am
BDRCOL-PF49WF5H,BDR-LT-AA14184,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),194.0.10.58,62.105.82.130,Standalone Workstation,PF49WF5H,03/25/2025 08:33 am,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SAMSUNG MZAL4512HBLU-00BL2,SCSI,476.94,3,JKCN50WW,LENOVO,PF49WF5H,BIOS Date: 03/17/2025 Ver: JKCN50WW,LENOVO,(UTC +0100) BST,07/21/2025 09:04 am
BDR-DT-15262,BDR-DT-15262,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Pro 24H2,64-bit,English (United Kingdom),194.0.30.51,62.105.82.134,Standalone Workstation,S4GN9401,03/12/2025 09:06 am,10RS002AUK,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,Central Processor,1,6,32.00,(Standard disk drives) / SAMSUNG MZVLB1T0HALR-000L7,SCSI,953.87,3,M1UKT45A,LENOVO,S4GN9401,BIOS Date: 07/11/2019 Ver: M1UKT45A,LENOVO,(UTC +0100) BST,07/20/2025 07:05 pm
UnifiController,UnifiController,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Windows 10 Pro 22H2,64-bit,English (United States),10.0.1.4,51.104.18.40,Standalone Workstation,0000-0006-2875-3865-2627-0935-65,04/08/2025 12:35 pm,Virtual Machine,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,Central Processor,1,2,8.00,Microsoft / Virtual HD ATA Device,IDE,127.00,3,090008,American Megatrends Inc.,0000-0006-2875-3865-2627-0935-65,BIOS Date: 12/07/2018 Ver: 090008,Microsoft Corporation,(UTC +0000) GMT,05/07/2025 09:50 am
Rob-Surface2,Rob-Surface2,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),192.168.1.80,62.105.82.130,Standalone Workstation,002421532557,12/17/2024 09:40 am,Surface Laptop 4,11th Gen Intel(R) Core(TM) i7-1185G7 @ 3.00GHz,Central Processor,1,4,32.00,(Standard disk drives) / HFM001TD3GX013N-SKhynix,SCSI,950.14,3,30.101.143,Microsoft Corporation,002421532557,BIOS Date: 10/16/2024 Ver: 30.101.143,Microsoft Corporation,(UTC +0100) BST,07/21/2025 09:20 am
AA14181,BDR-LT-14181,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Pro 24H2,64-bit,English (United States),"10.147.20.13, 194.0.10.44",62.105.82.130,Standalone Workstation,PF490Z53,03/17/2025 04:06 pm,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SAMSUNG MZAL4512HBLU-00BL2,SCSI,476.94,3,JKCN50WW,LENOVO,PF490Z53,BIOS Date: 03/17/2025 Ver: JKCN50WW,LENOVO,(UTC +0100) BST,07/09/2025 11:38 am
BDR-LT-14180,BDR-LT-14180,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),194.0.10.37,62.105.82.130,Standalone Workstation,PF49WF74,01/07/2025 07:43 am,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SAMSUNG MZAL4512HBLU-00BL2,SCSI,476.94,3,JKCN50WW,LENOVO,PF49WF74,BIOS Date: 03/17/2025 Ver: JKCN50WW,LENOVO,(UTC +0100) BST,07/21/2025 08:15 am
UnifiController,UnifiController,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Windows 10 Pro 22H2,64-bit,English (United States),10.0.1.4,51.104.18.40,Standalone Workstation,0000-0006-2875-3865-2627-0935-65,04/08/2025 12:35 pm,Virtual Machine,Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz,Central Processor,1,2,8.00,Microsoft / Virtual HD ATA Device,IDE,16.00,1,090008,American Megatrends Inc.,0000-0006-2875-3865-2627-0935-65,BIOS Date: 12/07/2018 Ver: 090008,Microsoft Corporation,(UTC +0000) GMT,05/07/2025 09:50 am
BDR-LT-15286,BDR-LT-15286,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),"192.168.71.1, 192.168.21.1, 192.168.250.16",90.243.197.155,Standalone Workstation,MP1Y9Z46,12/29/2024 08:30 pm,20VD,11th Gen Intel(R) Core(TM) i7-1165G7 @ 2.80GHz,Central Processor,1,4,24.00,(Standard disk drives) / NVMe SAMSUNG MZALQ512HALU-000L2,SCSI,476.94,3,F8CN53WW(V2.16),LENOVO,MP1Y9Z46,BIOS Date: 01/10/2023 Ver: F8CN53WW(V2.16),LENOVO,(UTC +0100) BST,07/06/2025 10:45 am
NickS10,NickS10,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Pro 24H2,64-bit,English (United Kingdom),192.168.1.183,86.180.183.184,Standalone Workstation,PF270GG9,01/08/2025 05:28 pm,20RH0023UK,Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz,Central Processor,1,4,16.00,(Standard disk drives) / SAMSUNG MZVLB512HBJQ-000L7,SCSI,476.94,2,N2IETA5W (1.83 ),LENOVO,PF270GG9,BIOS Date: 06/20/2024 Ver: N2IETA5W (1.83 ),LENOVO,(UTC +0100) BST,07/20/2025 04:05 am
BDR-LT-AA15320,DESKTOP-P1NLQSB,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Pro 24H2,64-bit,English (United Kingdom),10.201.69.106,62.105.82.130,Standalone Workstation,PF491KWN,12/18/2024 11:31 am,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SAMSUNG MZAL4512HBLU-00BL2,SCSI,476.94,3,JKCN50WW,LENOVO,PF491KWN,BIOS Date: 03/17/2025 Ver: JKCN50WW,LENOVO,(UTC +0100) BST,07/21/2025 08:17 am
BDR-LT-AA14209,BDR-LT-AA14209,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),"194.0.10.55, 192.168.56.1",62.105.82.130,Standalone Workstation,MP27M7W4,07/01/2025 09:34 am,20VE,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Central Processor,1,4,16.00,(Standard disk drives) / NVMe SKHynix_HFM256GD3HX015N,SCSI,238.47,3,F8CN46WW(V2.09),LENOVO,MP27M7W4,BIOS Date: 12/24/2021 Ver: F8CN46WW(V2.09),LENOVO,(UTC +0100) BST,07/21/2025 09:00 am
AA14181,BDR-LT-14181,Desktop,BDR Group,BDR Group,BDR - Colchester,BDR - Colchester,Microsoft Windows 11 Pro 24H2,64-bit,English (United States),"10.147.20.13, 194.0.10.44",62.105.82.130,Standalone Workstation,PF490Z53,03/17/2025 04:06 pm,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SanDisk Extreme USB Device,USB,29.22,2,JKCN50WW,LENOVO,PF490Z53,BIOS Date: 03/17/2025 Ver: JKCN50WW,LENOVO,(UTC +0100) BST,07/09/2025 11:38 am
SupportDesk,SupportDesk,Server,BDR Group,BDR Group,BDR - SDPro Servers,BDR - SDPro Servers,Windows Server 2012 Standard 6.2.9200,64-bit,English (United Kingdom),10.1.1.103,80.79.134.68,Member Server,VMware-42 04 c7 f5 e6 27 c3 a1-93 c5 e2 e8 03 a4 da 9b,12/10/2024 12:36 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Central Processor,2,6,48.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,1100.00,1,6.00,Phoenix Technologies LTD,VMware-42 04 c7 f5 e6 27 c3 a1-93 c5 e2 e8 03 a4 da 9b,BIOS Date: 09/19/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 05:22 am
sd-app01,sd-app01,Server,BDR Group,BDR Group,BDR - SDPro Servers,BDR - SDPro Servers,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),10.1.1.130,80.79.134.68,Member Server,VMware-42 18 5a 41 07 b1 4c 9d-4a e0 e0 9b 00 7d f5 45,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,4,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,80.00,2,6.00,Phoenix Technologies LTD,VMware-42 18 5a 41 07 b1 4c 9d-4a e0 e0 9b 00 7d f5 45,BIOS Date: 05/28/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 08:31 am
SupportDesk,SupportDesk,Server,BDR Group,BDR Group,BDR - SDPro Servers,BDR - SDPro Servers,Windows Server 2012 Standard 6.2.9200,64-bit,English (United Kingdom),10.1.1.103,80.79.134.68,Member Server,VMware-42 04 c7 f5 e6 27 c3 a1-93 c5 e2 e8 03 a4 da 9b,12/10/2024 12:36 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Central Processor,2,6,48.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,450.00,2,6.00,Phoenix Technologies LTD,VMware-42 04 c7 f5 e6 27 c3 a1-93 c5 e2 e8 03 a4 da 9b,BIOS Date: 09/19/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 05:22 am
sd-app01,sd-app01,Server,BDR Group,BDR Group,BDR - SDPro Servers,BDR - SDPro Servers,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),10.1.1.130,80.79.134.68,Member Server,VMware-42 18 5a 41 07 b1 4c 9d-4a e0 e0 9b 00 7d f5 45,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,4,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,40.00,1,6.00,Phoenix Technologies LTD,VMware-42 18 5a 41 07 b1 4c 9d-4a e0 e0 9b 00 7d f5 45,BIOS Date: 05/28/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 08:31 am
BDR-DC-GENRDS02,BDR-DC-GENRDS02,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2022 Standard 21H2,64-bit,English (United States),10.1.1.158,80.79.134.68,Member Server,VMware-42 18 8b 1c a1 a0 46 15-ab dd 15 f5 89 6a 94 3a,11/25/2024 11:03 am,"VMware7,1",Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,4,2,32.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,100.00,3,VMW71.00V.21100432.B64.2301110304,"VMware, Inc.",VMware-42 18 8b 1c a1 a0 46 15-ab dd 15 f5 89 6a 94 3a,BIOS Date: 01/11/2023 Ver: VMW71.00V.21100432.B64.2301110304,Intel Corporation,(UTC +0100) BST,07/20/2025 11:58 am
2012-File,2012-File,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2012 R2 Standard 6.3.9600,64-bit,English (United Kingdom),194.0.10.23,62.105.82.130,Member Server,VMware-42 17 19 dd 20 0d 07 ba-ec 48 d2 b1 a0 dd 9a c3,12/08/2024 09:28 pm,VMware Virtual Platform,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,Central Processor,2,4,9.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,650.00,2,6.00,Phoenix Technologies LTD,VMware-42 17 19 dd 20 0d 07 ba-ec 48 d2 b1 a0 dd 9a c3,BIOS Date: 12/12/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 05:39 am
BDR-Azure-Migration-Server,Azure-Migration-Server,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),10.1.54.182,80.79.134.68,Standalone Server,VMware-42 18 20 55 53 68 50 97-72 0f ea bb 40 f9 59 c4,04/02/2025 10:13 am,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,8,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,500.00,2,6.00,Phoenix Technologies LTD,VMware-42 18 20 55 53 68 50 97-72 0f ea bb 40 f9 59 c4,BIOS Date: 11/12/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 03:18 pm
BDR-SD-APP01,BDR-SD-APP01,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),10.1.1.133,80.79.134.68,Member Server,VMware-42 18 72 49 2a b1 52 98-41 bf c2 ef f9 9b 4c 54,12/09/2024 08:06 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,2,1,8.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,100.00,2,6.00,Phoenix Technologies LTD,VMware-42 18 72 49 2a b1 52 98-41 bf c2 ef f9 9b 4c 54,BIOS Date: 05/28/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 06:55 am
2019-dc3,2019-dc3,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),194.0.10.16,62.105.82.130,Primary Domain Controller,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,Central Processor,2,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,1843.20,2,6.00,Phoenix Technologies LTD,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,BIOS Date: 12/12/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 07:05 pm
BDR-3C-APP,BDR-3C-APP,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2022 Standard 21H2,64-bit,English (United States),10.1.1.160,80.79.134.68,Member Server,VMware-42 18 10 3b b4 f0 bb a8-0b f5 82 61 c1 08 4b 18,02/22/2025 12:26 pm,"VMware7,1",Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,1,2,8.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,120.00,3,VMW71.00V.21100432.B64.2301110304,"VMware, Inc.",VMware-42 18 10 3b b4 f0 bb a8-0b f5 82 61 c1 08 4b 18,BIOS Date: 01/11/2023 Ver: VMW71.00V.21100432.B64.2301110304,Intel Corporation,(UTC +0100) BST,07/20/2025 02:55 pm
